Name,Club,Age,Overall,Potential,Value,Wage,Attack Score,Efficiency,Value Efficiency,Player Level
Lionel Messi,Paris Saint-Germain,35,91,91,54000000.0,195000.0,89.66666666666667,1.0,1.6851851851851852e-06,Elite
Karim Benzema,Real Madrid CF,34,91,91,64000000.0,450000.0,90.33333333333333,1.0,1.421875e-06,Elite
Robert Lewandowski,FC Barcelona,33,91,91,84000000.0,420000.0,93.0,1.0,1.0833333333333333e-06,Elite
Kevin De Bruyne,Manchester City,31,91,91,107500000.0,350000.0,88.33333333333333,1.0,8.465116279069767e-07,Elite
Kylian Mbappé,Paris Saint-Germain,23,91,95,190500000.0,230000.0,91.0,0.9578947368421052,4.776902887139107e-07,Elite
Mohamed Salah,Liverpool,30,90,90,115500000.0,270000.0,89.33333333333333,1.0,7.792207792207792e-07,Elite
Thibaut Courtois,Real Madrid CF,30,90,91,90000000.0,250000.0,27.666666666666668,0.989010989010989,1e-06,Elite
Manuel Neuer,FC Bayern München,36,90,90,13500000.0,72000.0,31.0,1.0,6.666666666666667e-06,Elite
C. Ronaldo dos Santos Aveiro,Manchester United,37,90,90,41000000.0,220000.0,93.66666666666667,1.0,2.195121951219512e-06,Elite
Virgil van Dijk,Liverpool,30,90,90,98000000.0,230000.0,60.0,1.0,9.183673469387755e-07,Elite
Harry Kane,Tottenham Hotspur,28,89,89,105500000.0,240000.0,93.0,1.0,8.436018957345971e-07,Elite
Neymar da Silva Santos Jr.,Paris Saint-Germain,30,89,89,99500000.0,200000.0,82.66666666666667,1.0,8.944723618090452e-07,Elite
Heung Min Son,Tottenham Hotspur,29,89,89,101000000.0,240000.0,90.0,1.0,8.811881188118812e-07,Elite
Carlos Henrique Venancio Casimiro,Manchester United,30,89,89,86000000.0,240000.0,75.66666666666667,1.0,1.0348837209302326e-06,Elite
Jan Oblak,Atlético de Madrid,29,89,91,85500000.0,100000.0,27.0,0.978021978021978,1.0409356725146198e-06,Elite
Sadio Mané,FC Bayern München,30,89,89,99500000.0,145000.0,86.33333333333333,1.0,8.944723618090452e-07,Elite
Ederson Santana de Moraes,Manchester City,28,89,91,88000000.0,210000.0,34.666666666666664,0.978021978021978,1.0113636363636363e-06,Elite
Joshua Kimmich,FC Bayern München,27,89,90,105500000.0,130000.0,75.33333333333333,0.9888888888888889,8.436018957345971e-07,Elite
Alisson Ramses Becker,Liverpool,29,89,90,79000000.0,190000.0,30.0,0.9888888888888889,1.1265822784810127e-06,Elite
N'Golo Kanté,Chelsea,31,89,89,72000000.0,220000.0,69.33333333333333,1.0,1.2361111111111111e-06,Elite
Rúben Santos Gato Alves Dias,Manchester City,25,88,91,107500000.0,230000.0,47.333333333333336,0.967032967032967,8.186046511627906e-07,Elite
Erling Haaland,Manchester City,21,88,94,148000000.0,220000.0,92.33333333333333,0.9361702127659575,5.945945945945945e-07,Elite
Gianluigi Donnarumma,Paris Saint-Germain,23,88,92,103500000.0,110000.0,28.333333333333332,0.9565217391304348,8.502415458937198e-07,Elite
Bernardo Mota Carvalho e Silva,Manchester City,27,88,88,97500000.0,260000.0,80.33333333333333,1.0,9.025641025641026e-07,Elite
João Pedro Cavaco Cancelo,Manchester City,28,88,88,82500000.0,250000.0,76.66666666666667,1.0,1.0666666666666667e-06,Elite
Marcos Aoás Corrêa,Paris Saint-Germain,28,88,90,92000000.0,170000.0,64.66666666666667,0.9777777777777777,9.565217391304349e-07,Elite
Keylor Navas,Paris Saint-Germain,35,88,88,10000000.0,85000.0,29.0,1.0,8.8e-06,Elite
Marc-André ter Stegen,FC Barcelona,30,88,89,68500000.0,210000.0,30.0,0.9887640449438202,1.2846715328467153e-06,Elite
Toni Kroos,Real Madrid CF,32,88,88,72000000.0,310000.0,80.66666666666667,1.0,1.2222222222222221e-06,Elite
Luka Modrić,Real Madrid CF,36,88,88,29000000.0,230000.0,76.33333333333333,1.0,3.0344827586206895e-06,Elite
Antonio Rüdiger,Real Madrid CF,29,87,88,73500000.0,250000.0,55.333333333333336,0.9886363636363636,1.1836734693877552e-06,Elite
Rodrigo Hernández Cascante,Manchester City,26,87,89,88500000.0,200000.0,76.0,0.9775280898876404,9.830508474576272e-07,Elite
Fábio Henrique Tavares,Liverpool,28,87,88,77000000.0,185000.0,71.33333333333333,0.9886363636363636,1.1298701298701298e-06,Elite
Hugo Lloris,Tottenham Hotspur,35,87,87,9000000.0,80000.0,25.0,1.0,9.666666666666667e-06,Elite
Thomas Müller,FC Bayern München,32,87,87,63000000.0,115000.0,87.33333333333333,1.0,1.380952380952381e-06,Elite
David De Gea Quintana,Manchester United,31,87,87,42000000.0,150000.0,27.333333333333332,1.0,2.0714285714285713e-06,Elite
Marco Verratti,Paris Saint-Germain,29,87,87,77500000.0,155000.0,66.0,1.0,1.1225806451612904e-06,Elite
Mike Maignan,AC Milan,26,87,90,80000000.0,90000.0,31.333333333333332,0.9666666666666667,1.0875e-06,Elite
Trent Alexander-Arnold,Liverpool,23,87,90,100500000.0,150000.0,74.0,0.9666666666666667,8.656716417910448e-07,Elite
Andrew Robertson,Liverpool,28,87,87,72000000.0,185000.0,69.33333333333333,1.0,1.2083333333333333e-06,Elite
Kalidou Koulibaly,Chelsea,31,87,87,54500000.0,175000.0,42.333333333333336,1.0,1.5963302752293578e-06,Elite
Leon Goretzka,FC Bayern München,27,87,88,91000000.0,115000.0,84.0,0.9886363636363636,9.56043956043956e-07,Elite
Frenkie de Jong,FC Barcelona,25,87,92,116500000.0,230000.0,72.33333333333333,0.9456521739130435,7.467811158798284e-07,Elite
Thiago Alcântara,Liverpool,31,86,86,55500000.0,180000.0,72.66666666666667,1.0,1.5495495495495495e-06,Elite
