Name,Club,Age,Overall,Potential,Value,Wage,Attack Score,Efficiency,Value Efficiency,Player Level,Predicted Overall
Lionel Messi,Paris Saint-Germain,35,91,91,54000000.0,195000.0,89.66666666666667,1.0,1.6851851851851852e-06,Elite,90.7267969839128
Karim Benzema,Real Madrid CF,34,91,91,64000000.0,450000.0,90.33333333333331,1.0,1.421875e-06,Elite,92.88416986381432
Robert Lewandowski,FC Barcelona,33,91,91,84000000.0,420000.0,93.0,1.0,1.0833333333333333e-06,Elite,92.7152002986881
Kevin De Bruyne,Manchester City,31,91,91,107500000.0,350000.0,88.33333333333333,1.0,8.465116279069767e-07,Elite,92.2581647179093
Kylian Mbappé,Paris Saint-Germain,23,91,95,190500000.0,230000.0,91.0,0.9578947368421052,4.776902887139107e-07,Elite,92.30784185483574
Mohamed Salah,Liverpool,30,90,90,115500000.0,270000.0,89.33333333333333,1.0,7.792207792207792e-07,Elite,90.72481916100406
Thibaut Courtois,Real Madrid CF,30,90,91,90000000.0,250000.0,27.666666666666668,0.989010989010989,1e-06,Elite,90.70163559748187
Manuel Neuer,FC Bayern München,36,90,90,13500000.0,72000.0,31.0,1.0,6.666666666666667e-06,Elite,88.74171033483756
C. Ronaldo dos Santos Aveiro,Manchester United,37,90,90,41000000.0,220000.0,93.66666666666669,1.0,2.195121951219512e-06,Elite,89.93110944169231
Virgil van Dijk,Liverpool,30,90,90,98000000.0,230000.0,60.0,1.0,9.183673469387756e-07,Elite,90.38616184162825
Harry Kane,Tottenham Hotspur,28,89,89,105500000.0,240000.0,93.0,1.0,8.436018957345971e-07,Elite,89.56203024250684
Neymar da Silva Santos Jr.,Paris Saint-Germain,30,89,89,99500000.0,200000.0,82.66666666666667,1.0,8.944723618090452e-07,Elite,89.19053796205387
Heung Min Son,Tottenham Hotspur,29,89,89,101000000.0,240000.0,90.0,1.0,8.811881188118812e-07,Elite,89.53321944403726
Carlos Henrique Venancio Casimiro,Manchester United,30,89,89,86000000.0,240000.0,75.66666666666667,1.0,1.0348837209302326e-06,Elite,89.48931245889193
Jan Oblak,Atlético de Madrid,29,89,91,85500000.0,100000.0,27.0,0.978021978021978,1.0409356725146198e-06,Elite,88.67563771416317
Sadio Mané,FC Bayern München,30,89,89,99500000.0,145000.0,86.33333333333333,1.0,8.944723618090452e-07,Elite,88.73007010467356
Ederson Santana de Moraes,Manchester City,28,89,91,88000000.0,210000.0,34.666666666666664,0.978021978021978,1.0113636363636363e-06,Elite,89.59941103210437
Joshua Kimmich,FC Bayern München,27,89,90,105500000.0,130000.0,75.33333333333333,0.9888888888888888,8.436018957345971e-07,Elite,88.81543160474212
Alisson Ramses Becker,Liverpool,29,89,90,79000000.0,190000.0,30.0,0.9888888888888888,1.1265822784810129e-06,Elite,89.26180478123638
N'Golo Kanté,Chelsea,31,89,89,72000000.0,220000.0,69.33333333333333,1.0,1.2361111111111111e-06,Elite,89.27028554884137
Rúben Santos Gato Alves Dias,Manchester City,25,88,91,107500000.0,230000.0,47.333333333333336,0.967032967032967,8.186046511627906e-07,Elite,89.07182549961712
Erling Haaland,Manchester City,21,88,94,148000000.0,220000.0,92.33333333333331,0.9361702127659576,5.945945945945945e-07,Elite,89.64346523150454
Gianluigi Donnarumma,Paris Saint-Germain,23,88,92,103500000.0,110000.0,28.33333333333333,0.9565217391304348,8.502415458937198e-07,Elite,88.29454712707386
Bernardo Mota Carvalho e Silva,Manchester City,27,88,88,97500000.0,260000.0,80.33333333333333,1.0,9.025641025641026e-07,Elite,88.82614163533148
João Pedro Cavaco Cancelo,Manchester City,28,88,88,82500000.0,250000.0,76.66666666666667,1.0,1.066666666666667e-06,Elite,88.68219980158173
Marcos Aoás Corrêa,Paris Saint-Germain,28,88,90,92000000.0,170000.0,64.66666666666667,0.9777777777777776,9.565217391304349e-07,Elite,88.29957546695894
Keylor Navas,Paris Saint-Germain,35,88,88,10000000.0,85000.0,29.0,1.0,8.8e-06,Elite,87.02942748377578
Marc-André ter Stegen,FC Barcelona,30,88,89,68500000.0,210000.0,30.0,0.9887640449438202,1.2846715328467151e-06,Elite,88.44963002616643
Toni Kroos,Real Madrid CF,32,88,88,72000000.0,310000.0,80.66666666666667,1.0,1.222222222222222e-06,Elite,89.06064743179058
Luka Modrić,Real Madrid CF,36,88,88,29000000.0,230000.0,76.33333333333333,1.0,3.034482758620689e-06,Elite,88.19186270306719
Antonio Rüdiger,Real Madrid CF,29,87,88,73500000.0,250000.0,55.333333333333336,0.9886363636363636,1.1836734693877552e-06,Elite,87.84939124840005
Rodrigo Hernández Cascante,Manchester City,26,87,89,88500000.0,200000.0,76.0,0.9775280898876404,9.830508474576272e-07,Elite,87.6228665828169
